"pathway","description","log2FC","p_adj","sig","direction"
"FUC-RHAMCAT-PWY","superpathway of fucose and rhamnose degradation",-1.73024955106677,2.03854408735312e-05,"***","GCtS_higher"
"PWY-5507","adenosylcobalamin biosynthesis I (early cobalt insertion)",-1.74342601000221,0.00085365614851618,"***","GCtS_higher"
"METH-ACETATE-PWY","methanogenesis from acetate",-1.7524753608097,0.00357308266656918,"**","GCtS_higher"
"P163-PWY","L-lysine fermentation to acetate and butanoate",-1.76111613989765,9.35463918827484e-06,"***","GCtS_higher"
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY","4-hydroxyphenylacetate degradation",-1.79992638373982,0.0387622476295991,"*","GCtS_higher"
"DARABCATK12-PWY","D-arabinose degradation I",-1.81596255610366,0.00012778840668494,"***","GCtS_higher"
"PWY-1541","superpathway of taurine degradation",-1.82215898998032,0.00046961562068403,"***","GCtS_higher"
"PWY6666-2","dopamine degradation",-1.86524685732522,0.000419643377767,"***","GCtS_higher"
"FUCCAT-PWY","fucose degradation",-1.87149214685882,2.03854408735312e-05,"***","GCtS_higher"
"PWY-6676","superpathway of sulfide oxidation (phototrophic sulfur bacteria)",-1.92404002141018,0.00319039134465105,"**","GCtS_higher"
"PWY-6143","CMP-pseudaminate biosynthesis",-1.96075652745191,0.00128784935511634,"**","GCtS_higher"
"PWY-5656","mannosylglycerate biosynthesis I",-1.97531332743574,0.0470592526489478,"*","GCtS_higher"
"PWY-7948",NA,-1.99022000249206,0.0412351535571391,"*","GCtS_higher"
"PWY-7883",NA,-2.02260925359794,0.00011686582725852,"***","GCtS_higher"
"PWY-4321","L-glutamate degradation IV",-2.034816311686,0.00042119213155455,"***","GCtS_higher"
"CARNMET-PWY","L-carnitine degradation I",-2.08146686594797,9.35463918827484e-06,"***","GCtS_higher"
"P241-PWY","coenzyme B biosynthesis",-2.09068690063374,0.0407062364835902,"*","GCtS_higher"
"PWY-5055","nicotinate degradation III",-2.09684117442425,0.00214667616542523,"**","GCtS_higher"
"PWY-7332","superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis",-2.10607169134473,0.00045505063716326,"***","GCtS_higher"
"PWY-6471","peptidoglycan biosynthesis IV (Enterococcus faecium)",-2.21874991606808,0.00847757974602237,"**","GCtS_higher"
