"pathway","description","log2FC","p_adj","sig","direction"
"PWY66-389","phytol degradation",-1.06284379349899,0.00085365614851618,"***","GCtS_higher"
"PWY-5022","4-aminobutanoate degradation V",-1.06330043002508,0.00085365614851618,"***","GCtS_higher"
"PWY-7807",NA,-1.07064986815981,0.00249553331594007,"**","GCtS_higher"
"PWY-6185","4-methylcatechol degradation (ortho cleavage)",-1.07407592229085,0.00401882711436447,"**","GCtS_higher"
"PWY-5519","D-arabinose degradation III",-1.07755612114432,0.00452428187917868,"**","GCtS_higher"
"PWY-7255","ergothioneine biosynthesis I (bacteria)",-1.0799876267136,0.00847757974602237,"**","GCtS_higher"
"PWY-6307","L-tryptophan degradation X (mammalian, via tryptamine)",-1.08709031937778,0.00168489329810489,"**","GCtS_higher"
"PWY-5100","pyruvate fermentation to acetate and lactate II",-1.0883674724625,0.00242832088277584,"**","GCtS_higher"
"PWY-5154","L-arginine biosynthesis III (via N-acetyl-L-citrulline)",-1.10163703536673,0.00040474447794657,"***","GCtS_higher"
"PCPDEG-PWY","pentachlorophenol degradation",-1.10543795519708,0.00205235962594894,"**","GCtS_higher"
"HOMOSER-METSYN-PWY","L-methionine biosynthesis I",-1.10690604555579,0.00136692951382566,"**","GCtS_higher"
"KETOGLUCONMET-PWY","ketogluconate metabolism",-1.11187135457517,0.0280770678508502,"*","GCtS_higher"
"PWY-6969","TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)",-1.11233734839901,0.00042119213155455,"***","GCtS_higher"
"PWY0-1533","methylphosphonate degradation I",-1.11704196601926,0.00173440533147447,"**","GCtS_higher"
"PWY-7323","superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis",-1.11739590749395,0.00042119213155455,"***","GCtS_higher"
"PWY-5723","Rubisco shunt",-1.11819199004844,0.00349460569276067,"**","GCtS_higher"
"PWY-8085",NA,-1.12022776149259,0.00166906568900146,"**","GCtS_higher"
"PWY-6339","syringate degradation",-1.12076239168977,0.00890235017075705,"**","GCtS_higher"
"GALACTARDEG-PWY","D-galactarate degradation I",-1.12288175260471,0.00293436114140665,"**","GCtS_higher"
"GLUCARGALACTSUPER-PWY","superpathway of D-glucarate and D-galactarate degradation",-1.12288175260471,0.00293436114140665,"**","GCtS_higher"
"GLCMANNANAUT-PWY","superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",-1.12524993773088,0.00119063335435809,"**","GCtS_higher"
"PWY-6748","nitrate reduction VII (denitrification)",-1.13067193623993,0.0192811368694553,"*","GCtS_higher"
"LACTOSECAT-PWY","lactose and galactose degradation I",-1.13081366614637,0.00579025593773834,"**","GCtS_higher"
"PWY-7377","cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)",-1.13342661399805,0.00155763117642963,"**","GCtS_higher"
"PWY-7269","NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)",-1.1361408439132,0.0315179047056369,"*","GCtS_higher"
"PWY-6317","galactose degradation I (Leloir pathway)",-1.13844325229623,0.00042119213155455,"***","GCtS_higher"
"PWY-7854",NA,-1.13960677526429,0.00083410523242504,"***","GCtS_higher"
"PWY-6906","chitin derivatives degradation",-1.16449523905979,0.00182356237660052,"**","GCtS_higher"
"P562-PWY","myo-inositol degradation I",-1.17299582054173,0.00173440533147447,"**","GCtS_higher"
"P42-PWY","incomplete reductive TCA cycle",-1.18057862879714,0.00026745884840125,"***","GCtS_higher"
