"term","estimate","IRR","z_value","p_value"
"(Intercept)",3.68839399360565,39.9805862923439,51.615209086132,0
"topo3GCtS_B",-0.0578598023973548,0.943782254171492,-1.22633581395303,0.220072329296262
"topo3EtS",-0.142686793584119,0.86702558434883,-3.45646194885187,0.00054731647459121
"age",-0.00393634258996229,0.996071394651057,-0.605383757746824,0.544924040560326
