"site1","site2","p_adj","family","sig"
"Ventral abdomen","Forehead",7.74731722003499e-05,"Deinococcaceae","***"
"Ventral abdomen","Left front pastern",0.0338200525577772,"Deinococcaceae","*"
"Ventral abdomen","Muzzle",0.0221289956701223,"Deinococcaceae","*"
"Ventral abdomen","Neck",7.74731722003499e-05,"Deinococcaceae","***"
"Ventral abdomen","Pectoral area",7.74731722003499e-05,"Deinococcaceae","***"
"Ventral abdomen","Udder",0.00270333729201954,"Deinococcaceae","**"
"Environment","Dorsum",0.463390157833315,"Intrasporangiaceae","ns"
"Forehead","Dorsum",0.000857386120391956,"Intrasporangiaceae","***"
"Forehead","Environment",0.241131977427075,"Intrasporangiaceae","ns"
"Left front pastern","Dorsum",0.00026340878548119,"Intrasporangiaceae","***"
"Left front pastern","Environment",0.212368295032866,"Intrasporangiaceae","ns"
"Left front pastern","Forehead",0.00026340878548119,"Intrasporangiaceae","***"
"Muzzle","Dorsum",0.00026340878548119,"Intrasporangiaceae","***"
"Muzzle","Environment",0.212368295032866,"Intrasporangiaceae","ns"
"Muzzle","Forehead",0.000784645894825964,"Intrasporangiaceae","***"
"Muzzle","Left front pastern",0.0701782321880957,"Intrasporangiaceae","ns"
"Neck","Dorsum",0.000857386120391956,"Intrasporangiaceae","***"
"Neck","Environment",0.241131977427075,"Intrasporangiaceae","ns"
"Neck","Forehead",0.14262425441266,"Intrasporangiaceae","ns"
"Neck","Left front pastern",0.000459497368049544,"Intrasporangiaceae","***"
"Neck","Muzzle",0.000555055894817886,"Intrasporangiaceae","***"
"Pectoral area","Dorsum",0.00026340878548119,"Intrasporangiaceae","***"
"Pectoral area","Environment",0.212368295032866,"Intrasporangiaceae","ns"
"Pectoral area","Forehead",0.100606655909527,"Intrasporangiaceae","ns"
"Pectoral area","Left front pastern",0.00026340878548119,"Intrasporangiaceae","***"
"Pectoral area","Muzzle",0.000555055894817886,"Intrasporangiaceae","***"
"Pectoral area","Neck",0.889263500336474,"Intrasporangiaceae","ns"
"Udder","Dorsum",0.00455313116763665,"Intrasporangiaceae","**"
"Udder","Environment",0.291256409776938,"Intrasporangiaceae","ns"
"Udder","Forehead",0.374280342805751,"Intrasporangiaceae","ns"
"Udder","Left front pastern",0.000985053834865349,"Intrasporangiaceae","***"
"Udder","Muzzle",0.000857386120391956,"Intrasporangiaceae","***"
"Udder","Neck",0.910424242728486,"Intrasporangiaceae","ns"
"Udder","Pectoral area",1,"Intrasporangiaceae","ns"
"Ventral abdomen","Dorsum",0.000857386120391956,"Intrasporangiaceae","***"
"Ventral abdomen","Environment",0.241131977427075,"Intrasporangiaceae","ns"
"Ventral abdomen","Forehead",0.132166395877295,"Intrasporangiaceae","ns"
"Ventral abdomen","Left front pastern",0.00452138592523503,"Intrasporangiaceae","**"
"Ventral abdomen","Muzzle",0.00114643614949676,"Intrasporangiaceae","**"
"Ventral abdomen","Neck",0.748408728144985,"Intrasporangiaceae","ns"
"Ventral abdomen","Pectoral area",0.323051837731683,"Intrasporangiaceae","ns"
"Ventral abdomen","Udder",0.701215495565762,"Intrasporangiaceae","ns"
"Environment","Dorsum",0.232520121090394,"Dietziaceae","ns"
"Forehead","Dorsum",0.000219507321234325,"Dietziaceae","***"
"Forehead","Environment",0.188771817806992,"Dietziaceae","ns"
"Left front pastern","Dorsum",0.000219507321234325,"Dietziaceae","***"
"Left front pastern","Environment",0.188771817806992,"Dietziaceae","ns"
"Left front pastern","Forehead",0.179779324984675,"Dietziaceae","ns"
"Muzzle","Dorsum",0.000219507321234325,"Dietziaceae","***"
"Muzzle","Environment",0.188771817806992,"Dietziaceae","ns"
"Muzzle","Forehead",0.0182447113104435,"Dietziaceae","*"
"Muzzle","Left front pastern",0.266268175179539,"Dietziaceae","ns"
"Neck","Dorsum",0.000219507321234325,"Dietziaceae","***"
"Neck","Environment",0.188771817806992,"Dietziaceae","ns"
"Neck","Forehead",0.00443108108648497,"Dietziaceae","**"
"Neck","Left front pastern",0.00731020442696705,"Dietziaceae","**"
"Neck","Muzzle",0.00100883043620508,"Dietziaceae","**"
"Pectoral area","Dorsum",0.000219507321234325,"Dietziaceae","***"
"Pectoral area","Environment",0.188771817806992,"Dietziaceae","ns"
"Pectoral area","Forehead",0.00912815648977774,"Dietziaceae","**"
"Pectoral area","Left front pastern",0.0122589730199892,"Dietziaceae","*"
"Pectoral area","Muzzle",0.00123217882251099,"Dietziaceae","**"
"Pectoral area","Neck",0.461361875327721,"Dietziaceae","ns"
"Udder","Dorsum",0.188771817806992,"Dietziaceae","ns"
"Udder","Environment",0.390121387337027,"Dietziaceae","ns"
"Udder","Forehead",0.0568858619500352,"Dietziaceae","ns"
"Udder","Left front pastern",0.0160509918939651,"Dietziaceae","*"
"Udder","Muzzle",0.00207317346847735,"Dietziaceae","**"
"Udder","Neck",0.4516632289914,"Dietziaceae","ns"
"Udder","Pectoral area",0.373520663761135,"Dietziaceae","ns"
"Ventral abdomen","Dorsum",0.000219507321234325,"Dietziaceae","***"
"Ventral abdomen","Environment",0.188771817806992,"Dietziaceae","ns"
