"family","panel","auc","auc_lo","auc_hi","youden_j","j_lo","j_hi","sens","sens_lo","sens_hi","spec","spec_lo","spec_hi","opt_thr","p_perm"
"Deinococcaceae","Both",0.993489583333333,0.980794988873209,1,0.9375,0.875,1,1,0.899948979591837,1,0.9375,0.882352941176471,1,0.0693258524168728,0
"Hungateiclostridiaceae","Panel A only",0.834635416666667,0.744027921109964,0.917827133915948,0.645833333333333,0.519484383814956,0.791679900181488,0.958333333333333,0.77356346483705,1,0.6875,0.5625,0.872350096711799,0.00420383232706075,0
"Christensenellaceae","Panel A only",0.82421875,0.740113150953115,0.895873664280527,0.5625,0.431372549019608,0.720261437908497,0.895833333333333,0.651133720930233,1,0.666666666666667,0.51063829787234,0.886363636363636,0.004690867076198,0
"Micrococcaceae","Panel B only",0.790798611111111,0.686171571854213,0.875828106582694,0.5,0.375,0.682626811594203,0.875,0.627389705882353,1,0.625,0.470588235294118,0.891935020126509,0.0406545957181371,0
"Intrasporangiaceae","Panel A only",0.759331597222222,0.655759519749929,0.847446366253357,0.541666666666667,0.395833333333333,0.681062595250866,0.979166666666667,0.918367346938776,1,0.5625,0.42,0.707342479674797,0.0141698787150851,0
"Lachnospiraceae","Panel B only",0.7578125,0.655970539980951,0.843095476827095,0.395833333333333,0.305866644530153,0.58395979020979,0.958333333333333,0.363636363636364,1,0.4375,0.377708333333333,1,0.0325438395875195,0
"UCG-010","Panel B only",0.682725694444444,0.468668050699301,0.780158843873518,0.416666666666667,0.127994592793225,0.563022492702749,1,0.690898268398268,1,0.416666666666667,0.272727272727273,0.651210251542477,0.00157228090766823,0
