"noise_pct","mean_auc","sd_auc","family"
0,0.993489583333333,0,"Deinococcaceae"
1,0.993381076388889,0.000238767189331682,"Deinococcaceae"
2,0.993337673611111,0.000323420060924746,"Deinococcaceae"
5,0.993467881944444,0.000637188131418722,"Deinococcaceae"
10,0.993185763888889,0.000902768991747624,"Deinococcaceae"
0,0.759331597222222,0,"Intrasporangiaceae"
1,0.758376736111111,0.00104052386142224,"Intrasporangiaceae"
2,0.758203125,0.00149955448427717,"Intrasporangiaceae"
5,0.756467013888889,0.00425118725175261,"Intrasporangiaceae"
10,0.752430555555555,0.00705338188913321,"Intrasporangiaceae"
0,0.834635416666667,0,"Hungateiclostridiaceae"
1,0.834483506944444,0.000988482623068048,"Hungateiclostridiaceae"
2,0.833984375,0.00102031759110596,"Hungateiclostridiaceae"
5,0.833441840277778,0.00238091456299049,"Hungateiclostridiaceae"
10,0.831901041666667,0.00377615982120043,"Hungateiclostridiaceae"
0,0.82421875,0,"Christensenellaceae"
1,0.824479166666667,0.000989735612065232,"Christensenellaceae"
2,0.823871527777778,0.00174522461788206,"Christensenellaceae"
5,0.821527777777778,0.0038321947931528,"Christensenellaceae"
10,0.818988715277778,0.00720988906986526,"Christensenellaceae"
0,0.790798611111111,0,"Micrococcaceae"
1,0.792925347222222,0.00219467127801844,"Micrococcaceae"
2,0.793207465277778,0.00395913027318521,"Micrococcaceae"
5,0.794097222222222,0.00852077919372077,"Micrococcaceae"
10,0.790407986111111,0.01350663848986,"Micrococcaceae"
0,0.7578125,0,"Lachnospiraceae"
1,0.756879340277778,0.000936990111367644,"Lachnospiraceae"
2,0.756901041666667,0.00133516693449708,"Lachnospiraceae"
5,0.756336805555556,0.00296185151013621,"Lachnospiraceae"
10,0.754752604166667,0.00557692139167954,"Lachnospiraceae"
0,0.682725694444444,0,"UCG-010"
1,0.682769097222222,0.000133590931261092,"UCG-010"
2,0.682790798611111,0.000323420060924746,"UCG-010"
5,0.682769097222222,0.000485768336751095,"UCG-010"
10,0.682834201388889,0.00118550191145875,"UCG-010"
