"family","fpr","tpr","threshold"
"Deinococcaceae",1,1,-Inf
"Deinococcaceae",0.958333333333333,1,0.000103646037266505
"Deinococcaceae",0.9375,1,0.000207874102649845
"Deinococcaceae",0.916666666666667,1,0.000227541316272955
"Deinococcaceae",0.895833333333333,1,0.0003128918447581
"Deinococcaceae",0.875,1,0.00038214389862401
"Deinococcaceae",0.854166666666667,1,0.00040655296480046
"Deinococcaceae",0.833333333333333,1,0.00046084203007258
"Deinococcaceae",0.8125,1,0.00078795738771755
"Deinococcaceae",0.791666666666667,1,0.00157198562867429
"Deinococcaceae",0.770833333333333,1,0.00219806802672471
"Deinococcaceae",0.75,1,0.00245773302648326
"Deinococcaceae",0.729166666666667,1,0.00273010960630625
"Deinococcaceae",0.708333333333333,1,0.00300389519853555
"Deinococcaceae",0.6875,1,0.00326104582227234
"Deinococcaceae",0.666666666666667,1,0.00369139347036394
"Deinococcaceae",0.645833333333333,1,0.00406788279629034
"Deinococcaceae",0.625,1,0.00479902204110018
"Deinococcaceae",0.604166666666667,1,0.0068852655031527
"Deinococcaceae",0.583333333333333,1,0.0083454320121219
"Deinococcaceae",0.5625,1,0.00874030330501956
"Deinococcaceae",0.541666666666667,1,0.00919747534684206
"Deinococcaceae",0.520833333333333,1,0.00932828361539913
"Deinococcaceae",0.5,1,0.0104885858130666
"Deinococcaceae",0.479166666666667,1,0.0116443094028114
"Deinococcaceae",0.458333333333333,1,0.0131406915726073
"Deinococcaceae",0.4375,1,0.0156311671856844
"Deinococcaceae",0.416666666666667,1,0.0173172462270021
"Deinococcaceae",0.395833333333333,1,0.0187290888791977
"Deinococcaceae",0.375,1,0.0196130389013868
"Deinococcaceae",0.354166666666667,1,0.020033245937818
"Deinococcaceae",0.333333333333333,1,0.0215382502202219
"Deinococcaceae",0.3125,1,0.023348551882237
"Deinococcaceae",0.291666666666667,1,0.0245535530655787
"Deinococcaceae",0.270833333333333,1,0.0252330474954323
"Deinococcaceae",0.25,1,0.025747071934842
"Deinococcaceae",0.229166666666667,1,0.0262150968362833
"Deinococcaceae",0.208333333333333,1,0.0281891518733459
"Deinococcaceae",0.1875,1,0.0306162163203174
"Deinococcaceae",0.166666666666667,1,0.0332012519030195
"Deinococcaceae",0.145833333333333,1,0.035443601332538
"Deinococcaceae",0.125,1,0.0370325068781307
"Deinococcaceae",0.104166666666667,1,0.0410189016324687
"Deinococcaceae",0.0833333333333334,1,0.0520633078785945
"Deinococcaceae",0.0625,1,0.0693258524168728
"Deinococcaceae",0.0625,0.979166666666667,0.0831600685587667
"Deinococcaceae",0.0625,0.958333333333333,0.0882834784273011
"Deinococcaceae",0.0625,0.9375,0.091196856196218
"Deinococcaceae",0.0416666666666666,0.9375,0.094593607547037
"Deinococcaceae",0.0416666666666666,0.916666666666667,0.095595439804344
"Deinococcaceae",0.0416666666666666,0.895833333333333,0.0978996191604443
"Deinococcaceae",0.0416666666666666,0.875,0.103491648850419
"Deinococcaceae",0.0208333333333334,0.875,0.107337269134289
"Deinococcaceae",0,0.875,0.117896496569271
"Deinococcaceae",0,0.854166666666667,0.131600780790797
