#OTU ID	1_S01	10-1_S02	10-2_S03	10-3_S04	10-4_S05	10-5_S06	10-6_S07	10-7_S08	10-8_S09	11-1_S10	11-2_S11	11-3_S12	11-4_S13	11-5_S14	11-6_S15	11-7_S16	11-8_S17	12-1_S18	12-2_S19	12-3_S20	12-4_S21	12-5_S22	12-6_S23	12-7_S24	12-8_S25	13-1_S26	13-2_S27	13-3_S28	13-4_S29	13-5_S30	13-6_S31	13-7_S32	13-8_S33	2-1_S34	2-2_S35	2-3_S36	2-4_S37	2-5_S38	2-6_S39	2-7_S40	2-8_S41	3-1_S42	3-2_S43	3-3_S44	3-4_S45	3-5_S46	3-6_S47	3-7_S48	3-8_S49	4-1_S50	4-2_S51	4-3_S52	4-4_S53	4-5_S54	4-6_S55	4-7_S56	4-8_S57	5-1_S58	5-2_S59	5-3_S60	5-4_S61	5-5_S62	5-6_S63	5-7_S64	5-8_S65	6-1_S66	6-2_S67	6-3_S68	6-4_S69	6-5_S70	6-6_S71	6-7_S72	6-8_S73	7-1_S74	7-2_S75	7-3_S76	7-4_S77	7-5_S78	7-6_S79	7-7_S80	7-8_S81	8-1_S82	8-2_S83	8-3_S84	8-4_S85	8-5_S86	8-6_S87	8-7_S88	8-8_S89	9-1_S90	9-2_S91	9-3_S92	9-4_S93	9-5_S94	9-6_S95	9-7_S96	9-8_S97
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae	0	20	0	75	17	0	326	0	29	0	0	8	5	0	0	5	112	22	20	41	9	0	0	49	218	15	33	0	0	0	107	0	311	3	20	18	37	0	94	51	322	0	0	37	83	0	77	53	0	0	0	179	16	8	14	0	103	38	23	13	6	4	53	11	20	31	0	20	32	0	50	3	224	19	0	0	0	0	24	0	0	27	8	58	0	0	23	0	8	50	0	0	0	0	10	10	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	7	165	174	23	45	2	354	41	172	0	250	48	99	0	1266	171	32	81	82	9	40	0	8188	2864	82	86	94	111	0	29	140	0	111	130	291	201	89	12	1188	821	136	233	42	194	511	0	1292	5822	687	314	76	0	88	0	208	71	110	136	378	105	0	0	294	64	88	92	170	46	28	4	247	17	9	100	172	34	105	6	798	16	0	266	175	31	9	0	725	7	113	332	97	68	142	5	241	282	92
d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Gastranaerophilales;f__Gastranaerophilales	0	0	0	0	0	0	7	0	6	0	0	0	0	0	4	0	5	0	0	0	0	0	32	23	0	0	0	0	0	0	6	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	3	17	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	6	0	0	0	6	0	0	0	10	0	8	0	0	0	0	0	0	8	0
d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae	0	0	0	16	0	0	70	6	0	0	0	0	0	0	0	5	37	0	0	11	0	0	0	0	68	0	14	0	0	0	64	8	94	0	0	0	16	0	8	32	108	0	0	7	22	0	5	18	14	0	0	20	0	0	0	9	47	5	0	3	0	0	12	0	17	0	0	0	6	0	16	3	48	0	0	0	0	0	9	0	0	0	0	10	0	0	2	0	0	0	0	7	0	0	9	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Tistrellales;f__Geminicoccaceae	0	6	0	5	3	0	10	0	3	0	0	0	0	0	0	0	9	0	3	0	0	0	0	12	24	0	0	0	3	0	16	3	15	3	0	6	0	0	8	0	14	0	0	0	0	0	4	6	0	0	0	18	0	0	0	4	6	5	0	0	3	0	0	4	4	0	4	7	9	0	6	0	23	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	8	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae	5	93	15	470	20	41	571	5	38	0	0	79	14	0	162	63	111	88	28	66	29	77	89	76	198	85	16	0	8	40	216	27	159	154	53	212	148	45	388	144	264	134	45	95	118	47	267	105	20	112	11	252	13	44	16	0	95	162	57	114	27	37	138	0	31	141	22	143	0	22	17	0	135	154	43	4	12	51	238	0	0	93	53	76	19	104	178	0	22	202	11	28	69	15	182	25	2
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae	0	0	0	26	0	0	71	0	19	0	0	0	0	0	0	0	0	11	10	5	0	0	0	3	42	0	0	0	0	3	32	0	30	12	0	8	14	6	15	47	67	0	0	4	0	0	0	7	0	0	0	8	6	7	0	0	55	15	0	11	7	0	16	0	9	12	0	4	0	0	0	3	11	0	0	0	0	0	18	0	0	0	0	0	0	0	15	0	0	20	0	0	0	0	10	7	0
d__Archaea;p__Halobacterota;c__Methanocellia;o__Methanocellales;f__Methanocellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__IMCC26256	0	0	0	13	0	0	123	0	8	0	0	5	0	0	0	13	43	2	0	0	0	0	0	15	220	0	0	0	0	0	171	0	129	0	0	8	16	0	22	49	182	0	0	15	64	0	18	0	17	0	0	0	0	0	0	5	70	7	0	10	0	0	15	7	0	0	0	0	17	0	20	0	313	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	20	1679	1900	709	393	90	1455	243	3507	283	625	567	705	31	1801	978	599	3220	1400	2524	394	136	13790	4038	1945	2484	2503	240	539	244	2558	259	821	1261	1730	3451	1429	594	3808	1923	1707	2772	780	1505	2017	223	3800	2137	1463	1739	893	1062	471	31	2544	1349	2542	3140	2053	1160	977	269	1525	140	726	2372	1124	1650	501	128	1207	39	2080	2737	2498	1222	1324	640	5792	191	217	1507	1456	453	203	189	1435	107	1815	2277	1724	789	882	234	1148	639	1658
