#OTU ID	1_S01	10-1_S02	10-2_S03	10-3_S04	10-4_S05	10-5_S06	10-6_S07	10-7_S08	10-8_S09	11-1_S10	11-2_S11	11-3_S12	11-4_S13	11-5_S14	11-6_S15	11-7_S16	11-8_S17	12-1_S18	12-2_S19	12-3_S20	12-4_S21	12-5_S22	12-6_S23	12-7_S24	12-8_S25	13-1_S26	13-2_S27	13-3_S28	13-4_S29	13-5_S30	13-6_S31	13-7_S32	13-8_S33	2-1_S34	2-2_S35	2-3_S36	2-4_S37	2-5_S38	2-6_S39	2-7_S40	2-8_S41	3-1_S42	3-2_S43	3-3_S44	3-4_S45	3-5_S46	3-6_S47	3-7_S48	3-8_S49	4-1_S50	4-2_S51	4-3_S52	4-4_S53	4-5_S54	4-6_S55	4-7_S56	4-8_S57	5-1_S58	5-2_S59	5-3_S60	5-4_S61	5-5_S62	5-6_S63	5-7_S64	5-8_S65	6-1_S66	6-2_S67	6-3_S68	6-4_S69	6-5_S70	6-6_S71	6-7_S72	6-8_S73	7-1_S74	7-2_S75	7-3_S76	7-4_S77	7-5_S78	7-6_S79	7-7_S80	7-8_S81	8-1_S82	8-2_S83	8-3_S84	8-4_S85	8-5_S86	8-6_S87	8-7_S88	8-8_S89	9-1_S90	9-2_S91	9-3_S92	9-4_S93	9-5_S94	9-6_S95	9-7_S96	9-8_S97
d__Bacteria;p__SAR324_clade(Marine_group_B);c__SAR324_clade(Marine_group_B);o__SAR324_clade(Marine_group_B);f__SAR324_clade(Marine_group_B)	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	12	0	0	0	2	0	0	0	0	0	0	3	6	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Sanguibacteraceae	0	80	29	10	6	0	37	0	0	9	0	0	0	0	12	0	0	4	328	7	0	0	0	6	6	6	60	0	0	0	0	0	0	11	0	13	0	7	37	19	0	13	0	0	12	0	21	4	0	27	0	0	0	0	0	0	0	7	0	27	0	0	46	3	0	43	0	11	0	0	5	0	32	0	0	0	0	0	15	0	0	0	26	0	0	0	0	0	32	4	39	0	0	0	50	29	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae	0	378	534	451	50	23	1097	88	1330	71	70	155	147	13	413	179	105	470	889	144	55	0	513	266	424	278	322	41	49	0	450	47	268	346	372	607	331	10	563	425	398	480	269	334	443	82	655	189	568	304	203	365	83	47	444	417	1097	323	281	244	214	57	635	16	423	350	128	329	37	27	280	19	338	374	331	0	141	283	716	0	59	325	1012	216	61	26	595	25	1022	428	997	247	292	0	899	215	1184
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__uncultured	0	6	0	0	0	0	11	0	11	0	0	0	0	0	20	0	9	0	0	0	0	0	0	18	40	0	0	0	0	0	32	0	4	0	0	0	0	0	19	13	90	0	0	0	12	0	0	0	5	3	0	0	0	0	0	3	15	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	69	0	0	0	0	0	14	0	0	0	0	6	0	0	0	0	6	0	6	0	0	0	0	0	0
d__Bacteria;p__Acidobacteriota;c__Subgroup_5;o__Subgroup_5;f__Subgroup_5	0	0	0	0	0	0	8	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	9	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae	0	5	0	0	0	0	30	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	5	16	0	0	0	0	0	25	0	14	0	6	3	8	0	7	50	45	0	0	0	0	0	0	15	4	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	90	3	3	4	0	0	0	0	0	2	0	0	2	0	0	0	0	2	0	4	2	0	12	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae	8	269	236	319	51	17	644	32	732	0	16	75	82	17	251	92	31	114	368	58	33	27	127	107	237	142	170	15	9	7	146	13	83	263	111	294	226	32	518	305	177	197	138	122	174	34	248	106	335	162	126	202	54	34	42	117	219	214	81	104	68	20	231	16	621	173	85	106	22	27	79	11	80	146	231	25	59	122	201	7	34	160	270	131	31	42	317	0	390	239	268	126	135	0	400	65	727
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082	0	42	4	0	7	0	67	0	10	0	0	6	24	0	152	0	0	0	0	0	6	0	55	119	30	5	0	22	2	0	22	0	9	13	18	37	53	0	725	66	32	26	4	34	0	0	189	79	60	22	0	0	7	0	0	5	10	0	9	0	0	0	0	5	10	5	12	0	5	0	13	7	0	0	0	0	19	0	86	0	0	6	0	9	0	0	104	0	11	36	3	0	10	0	0	62	18
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae	0	74	9	276	0	0	977	16	55	0	0	58	26	0	117	105	319	68	0	62	14	17	0	74	1207	78	0	46	0	0	943	85	352	53	36	102	187	12	281	251	1283	78	0	120	367	50	265	250	279	27	0	129	0	27	45	82	615	81	19	108	73	0	198	5	117	64	0	79	155	14	168	0	1593	51	19	0	53	0	194	0	0	60	0	23	21	13	101	10	13	102	0	31	50	0	86	9	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales	0	197	738	30	11	0	23	43	3342	12	19	40	0	0	0	69	233	93	466	0	20	0	1615	324	254	54	46	0	7	0	31	0	38	69	295	34	233	0	171	710	1125	113	68	5	100	0	0	11	671	82	37	517	17	0	1467	740	1517	74	170	27	0	0	0	6	113	96	61	49	18	0	171	0	40	56	208	0	19	9	40	6	204	149	1463	6	0	0	3	2	2748	103	1229	250	90	0	216	67	2179
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	8	93	102	0	21	0	318	39	184	0	27	27	54	0	294	78	4	44	11	0	22	0	2489	541	40	18	44	34	17	5	78	0	44	44	109	89	68	0	433	279	33	78	16	65	174	0	319	1021	274	76	20	19	45	0	39	40	65	40	101	63	7	0	164	12	25	47	63	26	7	0	98	0	31	46	40	30	36	0	257	6	23	39	76	5	14	0	290	0	178	148	32	43	58	4	74	59	91
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae	15	270	100	761	96	64	984	73	211	0	12	167	0	17	139	97	25	200	304	179	16	51	63	171	316	94	120	16	14	12	308	34	164	311	127	260	255	46	391	195	292	315	87	135	160	53	233	81	82	219	97	387	50	87	53	62	188	263	80	221	170	23	149	9	38	215	56	235	52	73	103	4	419	204	103	15	80	35	315	122	7	111	148	130	23	79	361	23	115	325	112	120	141	21	371	85	130
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae	0	33	50	48	0	16	65	0	94	0	0	17	0	0	23	0	0	22	0	19	0	8	45	0	17	20	20	0	0	0	0	0	10	19	14	37	20	0	53	1	0	29	25	18	41	0	35	4	22	18	21	32	5	3	72	40	69	31	23	24	16	0	19	4	16	22	0	25	10	0	15	0	0	27	23	0	0	0	50	0	0	17	58	16	9	2	59	5	89	42	73	0	0	3	72	14	53
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	19	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	3	37	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Paracaedibacterales;f__Paracaedibacteraceae	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0	0	0	6	0	0	4	0	0	0	3	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermacoccaceae	0	46	25	4	0	0	0	0	0	0	0	30	0	0	0	5	0	328	34	0	0	0	0	0	0	72	112	9	0	0	0	0	0	41	0	187	0	0	0	0	0	37	215	0	0	20	0	0	0	53	8	0	0	0	0	0	0	21	0	0	0	0	0	0	0	72	139	0	0	10	0	0	0	0	32	0	15	0	0	0	0	61	25	53	0	0	0	0	0	31	0	18	10	0	0	0	0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Ardenticatenales;f__Ardenticatenaceae	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	6	0	0	0	4	0	0	0	12	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0
d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae	0	0	0	0	0	4	25	0	3	0	0	7	0	4	0	9	0	0	0	0	0	0	0	14	0	3	0	0	0	0	3	0	5	0	4	32	0	2	6	17	21	0	0	0	11	2	9	3	0	0	0	0	6	0	0	0	0	0	0	15	0	0	0	0	0	6	0	0	0	0	0	0	9	0	0	0	0	0	10	0	0	8	0	3	0	0	6	0	0	6	7	2	2	0	5	3	0
d__Bacteria;p__WPS-2;c__WPS-2;o__WPS-2;f__WPS-2	0	4	0	0	0	0	20	0	10	0	0	0	0	0	23	0	0	0	8	0	0	0	7	0	10	0	0	0	0	0	0	0	9	0	4	0	0	0	14	3	9	0	0	0	6	0	3	14	0	0	0	4	0	0	0	5	0	0	5	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	10	9	6
d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae	0	0	11	0	5	0	0	2	43	0	0	0	3	0	49	13	0	10	0	6	0	0	281	172	10	0	9	0	0	0	9	0	5	7	15	14	12	0	13	9	12	0	0	5	14	0	28	63	33	27	0	6	0	0	59	11	20	16	25	12	5	0	20	0	0	0	15	0	13	0	0	0	14	18	11	0	6	0	46	0	0	11	14	6	0	0	38	0	24	18	15	3	0	5	8	0	13
d__Bacteria;p__Chloroflexi;c__TK10;o__TK10;f__TK10	0	0	0	0	0	0	35	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	27	0	4	0	0	0	3	0	4	0	0	0	0	0	9	0	3	0	2	5	6	0	0	0	0	0	3	3	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	8	0	3	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__OPB41	0	0	0	0	0	0	0	0	20	0	0	0	0	0	13	0	0	3	5	0	0	0	0	0	16	0	0	0	0	0	69	14	37	0	0	0	33	0	30	28	112	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	29	0	0	0	53	0	23	0	261	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae	0	0	0	71	0	0	70	0	16	0	0	12	0	0	23	22	102	0	0	20	0	5	0	21	304	0	0	0	0	0	52	9	104	28	0	0	33	0	19	36	142	0	0	0	31	0	27	33	54	0	0	84	0	0	0	0	44	0	0	9	0	0	36	0	43	0	0	10	26	0	41	0	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	8	0	16	0	0
d__Bacteria;__;__;__;__	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	7	0	0	0	0	0	0	11	0	0	0	0	0	0	0	17	0	0	0	0	0	0	1	0	0	6	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	4	0	0	0	0	0	0	0
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__WD2101_soil_group	0	0	0	0	6	0	17	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	5	12	0	0	0	0	0	4	4	11	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	3	0	0	6	0	0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadales	0	6	0	3	0	5	30	0	45	2	0	7	0	0	3	0	0	10	71	0	0	0	4	22	9	0	0	0	0	0	17	2	26	8	6	0	18	0	0	12	44	6	12	3	0	0	3	0	1	0	0	0	0	0	0	0	18	0	0	0	4	0	18	0	0	0	2	4	2	0	0	0	22	4	0	0	0	0	0	0	0	0	31	10	0	2	0	0	16	24	10	0	0	4	19	0	43
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__JG30-KF-CM45	0	144	346	66	4	6	127	10	448	0	29	26	64	0	20	29	11	199	229	18	13	6	319	64	91	156	85	0	0	2	97	0	87	102	199	175	54	14	53	66	23	174	221	39	74	3	24	2	133	98	53	43	36	0	381	133	255	106	87	30	12	6	42	0	43	176	29	63	6	7	21	0	25	112	72	0	25	0	36	0	0	88	214	56	0	30	14	0	401	102	268	46	46	4	60	35	422
d__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__C0119;f__C0119	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae	0	0	0	0	0	10	0	0	4	0	0	0	0	15	0	0	0	0	0	0	0	50	0	0	5	0	4	0	0	74	0	0	0	18	0	3	0	345	0	0	0	0	0	4	0	44	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	9	0	0	4	50	0	0	0	44	0	0	0	29	0	0	0	0	0	0	0	51	0	0	0	125	0	0	0	3	0	0	0	30	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermabacteraceae	0	68	150	0	0	116	0	0	74	0	139	82	0	0	0	0	0	394	246	0	0	59	16	15	62	72	7774	0	0	0	0	0	74	0	39	50	0	67	0	0	0	47	728	24	48	25	0	0	354	69	1284	30	80	0	0	0	38	23	654	0	0	0	0	0	1306	55	5359	0	0	26	0	0	0	33	2426	0	0	74	0	0	0	116	631	49	0	61	0	0	37	158	455	16	271	47	0	0	121
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;__;__	0	0	25	0	0	0	27	2	11	0	0	0	2	4	0	0	0	0	52	1	3	0	0	1	3	3	1	0	0	0	3	0	12	1	5	8	1	3	0	10	5	0	6	4	3	0	3	0	1	3	1	4	0	0	25	15	4	1	11	0	6	0	1	0	0	8	0	0	2	0	0	0	6	8	4	0	0	0	0	0	0	10	0	3	0	9	0	0	0	3	10	0	0	0	1	1	1
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae_(Subgroup_1)	0	0	0	0	0	0	30	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	34	18	0	0	0	0	15	0	0	43	0	34	0	0	0	0	34	0	0	14	0	0	0	0	0	41	0	3	0	0	0	0	0	37	0	7	0	0	0	0	0	12	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__SM2D12	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	8	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Lineage_IV;f__Lineage_IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae	0	5	0	0	0	0	18	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	12	6	0	0	0	5	0	19	0	13	0	2	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	4	0	0	2	0	0	0	0	0	0	2	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcales_Incertae_Sedis	0	37	40	0	0	0	0	0	48	0	72	13	23	0	0	30	32	76	487	0	21	0	19	24	11	107	163	0	0	0	16	0	0	41	77	38	12	0	0	46	22	101	23	43	46	0	0	0	50	55	115	0	25	0	21	25	0	57	26	0	27	0	65	0	38	74	28	20	11	0	89	0	61	39	59	0	39	0	0	0	0	64	114	0	0	0	0	0	48	49	27	0	85	0	149	30	30
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae	0	0	0	17	0	0	28	0	19	0	0	0	0	0	0	9	30	0	0	0	0	0	0	0	94	0	0	0	0	0	59	0	15	0	0	29	0	0	34	30	72	0	0	14	20	0	13	0	23	0	0	38	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	17	708	987	69	70	53	95	51	2689	119	78	159	204	10	210	87	232	625	4032	51	148	12	1288	219	512	922	713	14	0	31	331	30	137	437	529	262	203	382	119	474	197	661	501	339	604	27	133	59	819	470	387	201	59	0	545	319	786	659	235	191	52	18	503	40	807	499	239	203	57	36	540	23	525	481	279	9	387	820	151	9	113	700	1152	183	14	51	305	16	1924	594	1137	307	600	43	1162	378	2172
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	5	2	0	0	0	0	0	2	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	5	0	0	0	3	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	10	0	5	0	0	0	0	0	0	0	2	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae	0	15	1001	94	5	23	175	0	0	0	1	36	34	0	0	0	0	90	167	15	21	0	0	53	69	108	342	0	0	0	75	0	0	17	743	362	99	0	47	41	223	134	1137	118	30	0	46	0	0	0	113	381	0	13	0	0	62	250	3037	146	57	0	2	0	2	21	191	37	0	0	0	0	43	97	265	0	0	0	38	0	0	1	17	41	5	0	69	0	0	54	25	1	25	0	31	0	0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Terrimicrobiaceae	0	0	0	17	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__AKAU3644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__LWQ8	0	4	0	0	0	0	17	0	7	0	0	0	0	0	0	6	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	3	0	0	2	14	7	7	0	13	11	6	0	7	2	0	0	0	0	6	0	0	11	7	3	0	0	2	0	0	0	0	4	0	0	0	0	0	0	10	0	0	0	0	0	5	0	0	0	0	0	0	0	7	0	4	0	8	0	2	0	2	4	4
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;__	0	50	67	0	17	0	43	0	440	0	6	0	0	5	0	0	3	69	253	5	3	0	102	21	23	13	12	0	0	0	20	0	0	36	45	12	0	0	0	16	16	23	116	0	11	0	0	0	71	13	16	0	8	0	63	37	152	12	17	0	0	0	111	0	6	45	0	10	0	0	24	0	19	28	19	0	13	0	13	0	30	16	147	0	0	0	0	0	454	30	140	30	11	0	109	19	386
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Subgroup_2;f__Subgroup_2	0	0	3	0	0	0	62	0	7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	57	0	0	0	0	0	23	3	11	0	0	0	0	0	0	19	76	0	0	0	12	0	16	30	16	0	0	0	3	0	0	3	19	0	0	4	2	0	9	0	0	0	0	0	0	0	16	0	79	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae	0	427	836	125	28	0	205	51	1049	0	152	109	99	29	12	98	109	731	854	30	80	12	786	238	567	424	4721	0	14	18	341	30	220	195	339	176	181	30	134	172	360	502	1025	85	204	0	90	55	447	347	1568	165	95	0	1267	580	716	273	644	157	82	14	126	23	980	475	2545	205	22	25	65	9	311	326	1842	17	156	0	174	0	72	322	889	120	19	0	0	0	968	412	1217	154	241	24	185	64	947
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae	0	100	1347	478	9	5	117	27	12	0	4	2	40	0	0	0	13	214	118	23	0	9	20	36	82	242	710	1	19	4	11	14	92	271	1055	526	1586	67	38	51	188	316	2358	161	72	0	57	15	24	159	398	742	46	0	8	14	33	945	6904	135	34	0	2	0	3	168	469	11	11	1	5	0	19	130	634	17	2	0	21	0	0	132	123	45	73	21	2	0	10	63	130	111	23	0	6	0	0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae	0	29	0	126	14	20	105	0	0	0	0	18	4	4	20	11	0	10	0	0	8	19	11	14	83	10	0	0	0	6	44	0	29	21	4	73	7	9	34	5	26	0	0	14	29	0	41	13	11	17	0	33	0	24	0	0	23	22	0	20	8	12	20	0	0	21	0	20	4	14	16	3	82	21	7	0	6	0	31	0	0	0	0	0	12	0	22	0	0	47	0	11	0	0	40	5	0
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Kallotenuales;f__AKIW781	0	0	0	18	9	0	27	0	0	0	0	5	0	0	12	0	0	0	0	6	0	0	0	6	0	0	0	0	0	0	9	0	3	0	0	0	3	0	16	0	2	0	0	3	0	0	16	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	8	8	0	7	0	7	0	0	12	0	0	12	0	0	3	0	22	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Thermomonosporaceae	0	0	0	0	6	0	28	0	24	0	0	0	0	0	0	6	0	13	0	0	0	0	0	0	12	0	1	0	0	0	4	0	0	0	0	6	0	0	0	0	19	0	0	11	0	0	6	3	0	0	0	7	0	0	0	0	6	0	8	1	0	0	0	11	0	6	0	0	1	0	0	0	0	7	0	0	0	0	10	0	0	0	0	1	0	6	21	0	13	0	0	0	0	0	5	0	2
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014	0	0	15	0	0	0	21	0	0	0	0	7	19	0	33	15	16	12	0	0	0	0	361	71	5	21	0	0	0	0	5	0	12	0	0	0	0	0	37	14	44	0	0	4	22	0	80	92	27	0	0	18	0	0	19	13	17	0	21	10	0	0	11	7	0	17	4	0	0	0	0	0	0	18	0	0	0	0	27	0	0	5	0	7	0	0	29	4	0	0	0	0	5	0	21	3	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae	0	33	30	53	7	15	140	6	34	0	0	16	0	0	12	4	0	25	0	0	8	0	10	14	40	10	0	6	0	0	65	12	26	103	12	223	62	0	52	62	112	55	35	3	16	6	88	0	17	40	17	57	7	0	7	6	71	31	17	61	4	4	50	3	0	46	9	9	0	7	31	0	118	26	11	0	10	9	45	2	0	24	0	35	0	31	30	0	0	59	22	17	18	0	46	21	18
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Demequinaceae	0	0	0	0	0	0	0	0	67	0	0	0	12	0	0	0	0	24	129	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	23	0	0	0	0	0	0	21	32	0	0	0	0	0	77	8	0	0	0	0	0	23	25	0	0	0	0	0	0	0	23	17	0	0	0	0	0	0	0	17	0	0	20	0	0	0	0	28	65	0	0	0	0	0	48	23	53	0	0	0	0	17	30
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__A0839	0	4	0	11	0	0	21	0	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	5	0	0	18	10	4	11	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	12	0	0	9	0	0	0	0	6	0	0	11	7	0	3	0	10	0	0
