"pathway","mean_GCtS","mean_EtS","log2FC","W","p","p_adj","sig","direction"
"PWY-5659",18838.8828138172,10022.1545427528,-0.910520723003286,1666,0.000125677965182242,0.00119063335435809,"**","GCtS_higher"
"MET-SAM-PWY",9248.38796237097,4546.44383169965,-1.0244633895818,1663,0.000138273572560641,0.00124446215304577,"**","GCtS_higher"
"METSYN-PWY",9094.47196994062,4379.77663233347,-1.05413258207256,1664,0.000133949884181877,0.00124446215304577,"**","GCtS_higher"
"PWY-5420",1467.65148870752,734.558276243106,-0.998560566993895,1663,0.000138273572560641,0.00124446215304577,"**","GCtS_higher"
"PWY-5430",1342.31938149344,652.986670048959,-1.03960253024089,1661,0.000147313844069367,0.00128784935511634,"**","GCtS_higher"
"PWY-6143",86.4450510332693,22.2071898843978,-1.96075652745191,1657,0.000147864185217061,0.00128784935511634,"**","GCtS_higher"
"NAGLIPASYN-PWY",2568.64243758681,1058.22132011628,-1.27936468760973,1658,0.000161911430438052,0.00136612769432106,"**","GCtS_higher"
"PWY-8073",2568.64243758681,1058.22132011628,-1.27936468760973,1658,0.000161911430438052,0.00136612769432106,"**","GCtS_higher"
"HOMOSER-METSYN-PWY",6738.6529619783,3128.68016486131,-1.10690604555579,1657,0.000167069162800914,0.00136692951382566,"**","GCtS_higher"
"PYRIDNUCSYN-PWY",13084.0689064951,6795.88343722375,-0.945078249635954,1657,0.000167069162800914,0.00136692951382566,"**","GCtS_higher"
"GLUTORN-PWY",15459.7443988571,8450.77631085573,-0.871360684488353,1656,0.000172379475663971,0.00138932711729171,"**","GCtS_higher"
"P23-PWY",13426.6045983626,6793.75356662334,-0.982813720723084,1654,0.000183474476893451,0.00145700319885976,"**","GCtS_higher"
"ASPASN-PWY",5049.73343181957,2212.25952678359,-1.19068658970125,1653,0.000189267735202837,0.00146006538585045,"**","GCtS_higher"
"P221-PWY",4425.54266156508,1913.30209515753,-1.20978968808276,1653,0.000189267735202837,0.00146006538585045,"**","GCtS_higher"
"RHAMCAT-PWY",2179.82769195731,941.399698223404,-1.21133480365361,1651,0.000201367973200257,0.0015315310637766,"**","GCtS_higher"
"PWY-7377",4939.24404361525,2251.46435736556,-1.13342661399805,1650,0.000207684156857284,0.00155763117642963,"**","GCtS_higher"
"GLUCARDEG-PWY",2510.44747498513,971.097460765859,-1.3702565414174,1649,0.00021418403676241,0.00157082432803429,"**","GCtS_higher"
"PWY0-1337",2103.75472019919,1012.01006817086,-1.05574286551198,1648.5,0.000215261111619514,0.00157082432803429,"**","GCtS_higher"
"P4-PWY",12553.201002221,6432.99284486921,-0.964493301811038,1648,0.000220872494046097,0.0015902819571319,"**","GCtS_higher"
"PWY-6588",1217.81172511107,606.910487373642,-1.00473545279049,1646,0.000233654626311308,0.00163861685984554,"**","GCtS_higher"
"PWY-6672",344.977113643538,108.81023384631,-1.66468640259293,1646,0.000231306054951474,0.00163861685984554,"**","GCtS_higher"
"PWY-8085",285.805295593081,131.476493616825,-1.12022776149259,1643,0.000241087266189099,0.00166906568900146,"**","GCtS_higher"
"PWY-6307",2467.15110137663,1161.31210957553,-1.08709031937778,1644,0.000249613821941465,0.00168489329810489,"**","GCtS_higher"
"PWY0-781",12463.4958467019,6433.94975259073,-0.953932208023013,1644,0.000249613821941465,0.00168489329810489,"**","GCtS_higher"
"P562-PWY",2682.0436514137,1189.48485043831,-1.17299582054173,1642,0.000265251595335565,0.00173440533147447,"**","GCtS_higher"
"PWY-5654",466.137038089109,239.958409051635,-0.95796977894708,1641.5,0.000266584523171076,0.00173440533147447,"**","GCtS_higher"
"PWY0-1533",2651.64613307965,1222.51002179994,-1.11704196601926,1642,0.000265251595335565,0.00173440533147447,"**","GCtS_higher"
"PWY-6467",3075.82604166667,1295.48708333333,-1.24747928046239,1641,0.000273406793618118,0.00173693727710334,"**","GCtS_higher"
"PWY-6895",6236.9434616667,3039.40383990023,-1.03705080505779,1641,0.000273406793618118,0.00173693727710334,"**","GCtS_higher"
"PWY-6906",1585.66730898375,707.398404347312,-1.16449523905979,1639,0.000290419193310453,0.00182356237660052,"**","GCtS_higher"
"METHANOGENESIS-PWY",9.34305529043938,0.830618842598287,-3.49163589918099,1460,0.000299879035945638,0.0018401668114846,"**","GCtS_higher"
"PWY3O-4107",9757.64795162155,5224.79759978424,-0.901158282281916,1638,0.000299288555362019,0.0018401668114846,"**","GCtS_higher"
"COLANSYN-PWY",8855.38358809781,4505.97197503833,-0.974716460724205,1636,0.000317785059304696,0.00188575749477512,"**","GCtS_higher"
"PWY-1269",2333.65188994289,1021.93345847232,-1.19128811016344,1636,0.000317785059304696,0.00188575749477512,"**","GCtS_higher"
"PWY1ZNC-1",10222.4915209113,5423.34593751167,-0.914491763012944,1636,0.000317785059304696,0.00188575749477512,"**","GCtS_higher"
"PCPDEG-PWY",1164.62802401987,541.274108397395,-1.10543795519708,1632.5,0.000349661269606116,0.00205235962594894,"**","GCtS_higher"
"PWY-5055",45.1822325280652,10.5622294239822,-2.09684117442425,1610,0.000369705339601012,0.00214667616542523,"**","GCtS_higher"
"PWY-3661",2932.96071301523,1261.48010850121,-1.21724028880665,1630,0.00037981890784429,0.00218193840676507,"**","GCtS_higher"
"PWY-5100",9871.39990295131,4642.45273184435,-1.0883674724625,1626,0.000427204599747601,0.00242832088277584,"**","GCtS_higher"
"ARG+POLYAMINE-SYN",5662.34018111539,3019.53658361206,-0.907071273578609,1625,0.000439875659524132,0.00247430058482324,"**","GCtS_higher"
"DAPLYSINESYN-PWY",18446.3922176681,10159.0787687958,-0.860569095078614,1624,0.000452893083263198,0.00249553331594007,"**","GCtS_higher"
"PWY-7807",2752.40204606214,1310.43096527618,-1.07064986815981,1624,0.000452893083263198,0.00249553331594007,"**","GCtS_higher"
"PWY-6897",14572.317747692,7765.72398494145,-0.908038022388804,1622,0.000480001496315394,0.00261818997990215,"**","GCtS_higher"
"KDO-NAGLIPASYN-PWY",76.2035825748143,11.5308462323501,-2.72436043072241,1548,0.000509308765880068,0.00275026733575237,"**","GCtS_higher"
"PWY-6936",14451.3325473031,7770.39743376733,-0.895142233375797,1619,0.000523482273813315,0.00279881611741773,"**","GCtS_higher"
"LIPASYN-PWY",2256.99666666667,1128.55354166667,-0.999929422278385,1617,0.00055332232063332,0.0029009131373009,"**","GCtS_higher"
"PWY-6344",2033.32507963586,793.494606072555,-1.35754856454213,1617,0.000550512904504252,0.0029009131373009,"**","GCtS_higher"
"GALACTARDEG-PWY",3014.51429001674,1384.19175436836,-1.12288175260471,1616,0.000570570221940182,0.00293436114140665,"**","GCtS_higher"
"GLUCARGALACTSUPER-PWY",3014.51429001674,1384.19175436836,-1.12288175260471,1616,0.000570570221940182,0.00293436114140665,"**","GCtS_higher"
"POLYAMSYN-PWY",3624.60168569061,1919.38296093325,-0.917179872350065,1613,0.000621534086877899,0.00316630572560439,"**","GCtS_higher"
"PWY-6608",10241.6048445331,5678.48234248697,-0.850864496264037,1612,0.000639432295502594,0.00316782972083854,"**","GCtS_higher"
"PWY-7229",11345.5556892606,6032.66485451805,-0.911259931309562,1612,0.000639432295502594,0.00316782972083854,"**","GCtS_higher"
"PWY-7855",344.385435382571,138.699858629102,-1.31205781292626,1612,0.000632986323495954,0.00316782972083854,"**","GCtS_higher"
"PWY-6676",23.0392138738203,6.07119101360988,-1.92404002141018,1561,0.000649894533169659,0.00319039134465105,"**","GCtS_higher"
"PWY490-3",11375.8269137053,6032.53793760052,-0.915134430795311,1611,0.000657803847535642,0.00320012682584907,"**","GCtS_higher"
"PWY-6595",11561.7558978875,6376.06476886917,-0.858622328729741,1610,0.000676660015537771,0.00320523165254734,"**","GCtS_higher"
"PWY-7376",6823.15636280675,3758.24518475309,-0.860380088147928,1610,0.000676660015537771,0.00320523165254734,"**","GCtS_higher"
"PWY-7805",2218.36097437907,1091.80006451451,-1.02278545423595,1610,0.000676660015537771,0.00320523165254734,"**","GCtS_higher"
"PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY",12321.2014736908,6316.07641622923,-0.964042412857343,1609,0.000696012305926416,0.00324005728620918,"**","GCtS_higher"
"PWY66-409",10948.908827022,6076.96456483052,-0.84936431280718,1609,0.000696012305926416,0.00324005728620918,"**","GCtS_higher"
"PWY-5723",3380.34522935249,1557.22628756344,-1.11819199004844,1606,0.000757164566764811,0.00349460569276067,"**","GCtS_higher"
"PWY-5747",675.764725296714,272.190616013046,-1.31190371459699,1605,0.000778621227307389,0.00356318188767788,"**","GCtS_higher"
"METH-ACETATE-PWY",776.15983038477,230.358112893558,-1.7524753608097,1604,0.000800525397312901,0.00357308266656918,"**","GCtS_higher"
"SO4ASSIM-PWY",8104.9892512271,4655.94724577798,-0.799735560574154,1604,0.000800635190101614,0.00357308266656918,"**","GCtS_higher"
"SULFATE-CYS-PWY",11258.7145448293,6763.03579733222,-0.735299223008495,1604,0.000800635190101614,0.00357308266656918,"**","GCtS_higher"
"PWY-5005",3334.81568689379,1725.20945639306,-0.950835497737922,1600,0.000894527909316584,0.00392719569943866,"**","GCtS_higher"
"PWY-7356",9854.59246511363,4728.63596750591,-1.05937212944556,1600,0.000894527909316584,0.00392719569943866,"**","GCtS_higher"
"CODH-PWY",692.319716961946,209.292093065064,-1.72592062762297,1598,0.000938648930946862,0.00401882711436447,"**","GCtS_higher"
"PWY-6126",11146.8481405033,6215.94458174568,-0.842590287803684,1598,0.000945168599119051,0.00401882711436447,"**","GCtS_higher"
"PWY-6185",2077.67016969158,986.841794113304,-1.07407592229085,1598,0.000945168599119051,0.00401882711436447,"**","GCtS_higher"
"PYRIDNUCSAL-PWY",9722.80459456292,5585.47021090643,-0.799693788289514,1598,0.000945168599119051,0.00401882711436447,"**","GCtS_higher"
"GLYCOCAT-PWY",6679.44665215036,3977.26929782296,-0.747950340721066,1597,0.000971462513069139,0.00409835747701043,"**","GCtS_higher"
"PWY-7761",12892.1268501115,7491.07707956351,-0.78324521694602,1595,0.00102607209646102,0.00429518552006937,"**","GCtS_higher"
"PWY-7328",4944.11389805293,2682.73775194505,-0.882005946700082,1593,0.00108348028653934,0.00450061042100956,"**","GCtS_higher"
"PWY-5519",216.476024696389,102.573007528524,-1.07755612114432,1588,0.0011059355704659,0.00452428187917868,"**","GCtS_higher"
"PWY-6565",18.6713472757084,0.931195222255655,-4.32559856459798,1402,0.0011030023819214,0.00452428187917868,"**","GCtS_higher"
"PWY-7237",8014.79854166667,4623.264375,-0.793754394088752,1591,0.00114381485011863,0.00464406029371475,"**","GCtS_higher"
"PWY-5415",3003.62865211495,1612.33825001136,-0.89755202259811,1590,0.00117512080923811,0.00470048323695244,"**","GCtS_higher"
"PWY0-862",3957.85096198555,1993.10127083241,-0.989702270497299,1590,0.00117512080923811,0.00470048323695244,"**","GCtS_higher"
"PWY-5178",1436.52719617827,729.906738073094,-0.976801261784861,1587.5,0.00124779072033099,0.00488265934042561,"**","GCtS_higher"
"PWY-7254",9879.40133707283,4956.01806131821,-0.995242176212597,1588,0.00124009545178805,0.00488265934042561,"**","GCtS_higher"
"PWY0-1296",13140.2285244978,7730.33236154744,-0.76538801758766,1588,0.00124009545178805,0.00488265934042561,"**","GCtS_higher"
"PWY-7400",13776.3312410534,8515.96103621899,-0.693950482696362,1587,0.00127379926454877,0.00494857268241967,"**","GCtS_higher"
"PWY-7399",2467.54438118545,1288.40605114827,-0.937488691554208,1585,0.00134373020872505,0.00514620079937252,"**","GCtS_higher"
"PWY0-41",761.522132361216,389.330499685753,-0.967890598710793,1585,0.00133711425647531,0.00514620079937252,"**","GCtS_higher"
"PWY-5497",2537.7746310167,4996.92496900861,0.977476600295389,720,0.00137999450015187,0.00524786640902825,"**","EtS_higher"
"DENITRIFICATION-PWY",1013.69577221756,431.010126483525,-1.23383106874026,1582,0.00144806420053634,0.00546821446356379,"**","GCtS_higher"
"PWY-5265",800.394749823981,167.453217561153,-2.25695360668928,1573.5,0.00148465246087937,0.00556744672829762,"**","GCtS_higher"
"LACTOSECAT-PWY",243.406992887039,111.153775309246,-1.13081366614637,1574,0.00155479094624456,0.00579025593773834,"**","GCtS_higher"
"PWY-5741",1138.2438923561,570.540422875798,-0.996408707683105,1577.5,0.00162491731151615,0.00600996813848439,"**","GCtS_higher"
"DTDPRHAMSYN-PWY",13868.2367269698,8240.47041578342,-0.75098576565759,1576,0.00170387405312791,0.00621683776141264,"**","GCtS_higher"
"PWY-6435",6581.48362603544,3639.14964404647,-0.854811462178215,1576,0.00170387405312791,0.00621683776141264,"**","GCtS_higher"
"PWY-7294",2777.78657192747,1513.75316201727,-0.875805782234554,1573,0.00174878452365745,0.00633787679714782,"**","GCtS_higher"
"SUCSYN-PWY",75.8534637675864,13.5367969066162,-2.48632865398507,1536,0.00186838074965756,0.00672617069876722,"**","GCtS_higher"
"PWY-5101",7.80242687920939,1.31062051759763,-2.57367290878622,1447,0.00188419100439274,0.00673816650577537,"**","GCtS_higher"
"PWY-7347",36.0698304878555,6.70672662884287,-2.42711193989923,1535,0.00192183132734591,0.00682755866293943,"**","GCtS_higher"
"TYRFUMCAT-PWY",1653.58888274114,922.266330124653,-0.842345260147933,1571,0.00193998790616415,0.00684701613940289,"**","GCtS_higher"
"PWY-6071",2491.24754080348,1400.14979561162,-0.831287198170695,1570,0.0019906369984175,0.00698015570873669,"**","GCtS_higher"
"DENOVOPURINE2-PWY",13283.2826865913,7958.91646283956,-0.738967783886031,1569,0.00204248453420084,0.00702510604120035,"**","GCtS_higher"
"PPGPPMET-PWY",15187.988183922,8818.22484131958,-0.784370614241849,1569,0.00204248453420084,0.00702510604120035,"**","GCtS_higher"
"PWY-6182",3777.4747002838,2046.62686777985,-0.884173992569883,1569,0.00204248453420084,0.00702510604120035,"**","GCtS_higher"
"PWY-6292",5521.71844397391,3314.29484815668,-0.736415371725993,1568,0.00209555551030403,0.00707249984727612,"**","GCtS_higher"
"PWY-6353",13185.8298925975,7935.26339992406,-0.732638357507054,1568,0.00209555551030403,0.00707249984727612,"**","GCtS_higher"
"PWY0-1261",5725.21810791677,3266.36625999237,-0.809644084768462,1568,0.00209555551030403,0.00707249984727612,"**","GCtS_higher"
"PWY-5647",298.704999158487,158.545500202189,-0.913824451122039,1567,0.00213383068192874,0.00715694762882931,"**","GCtS_higher"
"CRNFORCAT-PWY",1945.64593320977,957.615659712776,-1.02273054402333,1567,0.00214987535985656,0.00716625119952186,"**","GCtS_higher"
"PWY-7052",2725.96050916447,1560.14139368805,-0.805087877369911,1564,0.00232058914359209,0.00764096425329104,"**","GCtS_higher"
"REDCITCYC",11778.369392466,6607.64480565312,-0.833931783261705,1564,0.00232058914359209,0.00764096425329104,"**","GCtS_higher"
"PWY-6961",154.798936987189,65.5141749005611,-1.24051657181584,1556,0.00255152470536046,0.00835044449027061,"**","GCtS_higher"
"PWY-7090",1002.85248945973,536.563160349516,-0.902289504392065,1560,0.00256731338136591,0.00835150136106983,"**","GCtS_higher"
"PWY-6471",265.705457995457,57.0808192859486,-2.21874991606808,1551.5,0.00263746925431807,0.00847757974602237,"**","GCtS_higher"
"PWY-7255",1740.52009122415,823.323231999027,-1.0799876267136,1559,0.00263259403517526,0.00847757974602237,"**","GCtS_higher"
"PWY-5345",12039.3873164085,7668.93361126549,-0.650664089696264,1558,0.00269937302995069,0.008625215598659,"**","GCtS_higher"
"PWY-5742",144.669253725012,56.0029508190641,-1.36918359076652,1556,0.00273615186275,0.0086913059169706,"**","GCtS_higher"
"PWY-6901",12018.4114803662,7266.40699730026,-0.72593214246303,1556,0.00283754697852733,0.00885708305436277,"**","GCtS_higher"
"PWY-7858",3236.80383938122,1778.36416428665,-0.864019154176687,1556,0.00283754697852733,0.00885708305436277,"**","GCtS_higher"
"PWY-7900",8151.74762453423,4613.05907527634,-0.821385619011134,1556,0.00283754697852733,0.00885708305436277,"**","GCtS_higher"
"PWY-6339",97.2165469598717,44.7051023349485,-1.12076239168977,1553,0.00286853505502171,0.00890235017075705,"**","GCtS_higher"
"PWY-7084",33.4826921861498,4.55540551476895,-2.87776414140039,1495.5,0.00296358095756455,0.00914476409762775,"**","GCtS_higher"
"PWY-181",2972.09685306134,1677.27439018107,-0.825362407521873,1552.5,0.00307278103769959,0.00942785091112374,"**","GCtS_higher"
"PWY0-1477",4281.14083242479,2274.56111810736,-0.912407094438104,1551,0.00321137237069989,0.00979740723264372,"**","GCtS_higher"
"PWY-1622",6088.06092103166,3518.91182858627,-0.79085342970852,1549,0.00337294484228372,0.0102325292968158,"*","GCtS_higher"
"PWY0-321",2741.61444944032,1516.03503282809,-0.854722608620275,1547,0.00354180830243285,0.0106847848229818,"*","GCtS_higher"
"PWY-6641",395.796996995656,212.12120419202,-0.899871822701367,1543,0.00383943052668934,0.011518291580068,"*","GCtS_higher"
"ALLANTOINDEG-PWY",1261.98673094461,729.124932658564,-0.791458800395919,1543,0.00390255796093958,0.0116429906016982,"*","GCtS_higher"
"PWY-5417",4306.3055966829,2297.07626447401,-0.906651947938079,1540,0.00419444630491298,0.0123742184286709,"*","GCtS_higher"
"PWY-5431",4306.3055966829,2297.07626447401,-0.906651947938079,1540,0.00419444630491298,0.0123742184286709,"*","GCtS_higher"
"PWY0-1338",4.07339930289337,0.752119962193754,-2.43719854927423,1428,0.00421640035347304,0.0123742184286709,"*","GCtS_higher"
"METHGLYUT-PWY",293.268524979108,151.610309478216,-0.95185438237901,1538.5,0.00431777246389164,0.0126032277324405,"*","GCtS_higher"
"PWY-7373",156.401859490683,78.3403585632998,-0.997430028584645,1537,0.00447814171208272,0.013001056583466,"*","GCtS_higher"
"PWY-6404",8139.46721314274,4548.52867429055,-0.83953441474145,1537,0.00450579193538413,0.0130113777813232,"*","GCtS_higher"
"GALLATE-DEGRADATION-I-PWY",530.976963987839,296.159381263134,-0.842275485968611,1535.5,0.00464010672887571,0.0133279661361324,"*","GCtS_higher"
"PWY-6396",4300.83637362608,2527.52137748682,-0.766893950310399,1535,0.00472471288300554,0.0134991796657301,"*","GCtS_higher"
"P441-PWY",3962.04406160795,2183.4843700997,-0.859612720423441,1532,0.00507098563889684,0.0144122749737068,"*","GCtS_higher"
"PWY-5028",3156.85192526939,1826.84341928538,-0.789133607122057,1531,0.00519135773776535,0.014600693637465,"*","GCtS_higher"
"PWY-5062",38.6474630560388,14.0465516212766,-1.46015771665777,1502,0.00517098985457576,0.014600693637465,"*","GCtS_higher"
"PWY-6902",4095.63080192312,2035.10183315584,-1.0089846839669,1530,0.00531427932304368,0.0148689680541118,"*","GCtS_higher"
"14DICHLORBENZDEG-PWY",2625.45355997923,1491.33863157555,-0.815958795840724,1526,0.00583239695236716,0.0161512530988629,"*","GCtS_higher"
"PWY-6084",2625.45355997923,1491.33863157555,-0.815958795840724,1526,0.00583239695236716,0.0161512530988629,"*","GCtS_higher"
"PWY0-1277",1327.84973504793,805.44652025044,-0.721231188924676,1524.5,0.00599011609683209,0.0165033810831088,"*","GCtS_higher"
"PWY-6962",664.063904084246,341.706633133957,-0.95856382811592,1523.5,0.00614158536006282,0.0168348025098169,"*","GCtS_higher"
"PWY-7902",49.3806968799923,29.9131255087973,-0.723168536435556,1522.5,0.00621053890676349,0.0169378333820822,"*","GCtS_higher"
"PWY-6397",4032.27849968877,2147.34649451387,-0.90904028335584,1521,0.00654316522692463,0.0177553227263281,"*","GCtS_higher"
"CATECHOL-ORTHO-CLEAVAGE-PWY",4784.63995471385,2450.9909474781,-0.965045209907158,1520,0.0066942407595407,0.0180744500507599,"*","GCtS_higher"
"PWY-6338",285.216719335903,162.724161774543,-0.809630072066679,1518,0.00690397738819803,0.0183652600474233,"*","GCtS_higher"
"PWY-7097",285.216719335903,162.724161774543,-0.809630072066679,1518,0.00690397738819803,0.0183652600474233,"*","GCtS_higher"
"PWY66-399",13982.1506370982,8552.04317014276,-0.709245242273705,1519,0.0068484127533412,0.0183652600474233,"*","GCtS_higher"
"GLUDEG-I-PWY",3307.85860395046,2088.59217640841,-0.663366751355322,1517,0.0071662625684989,0.0189695185636735,"*","GCtS_higher"
"PWY-6748",445.434478701322,203.431247510393,-1.13067193623993,1516,0.00731969084858952,0.0192811368694553,"*","GCtS_higher"
"PWY-4984",4831.88539901228,9873.46647058899,1.03097045099919,790,0.00766763264012351,0.0200996195420713,"*","EtS_higher"
"PWY-4702",501.333591960441,791.609304174165,0.659017663752654,791,0.00780528423747263,0.0203616110542764,"*","EtS_higher"
"PWY-5505",12263.7933934821,7525.03119836905,-0.704635829087605,1511,0.00819988625010111,0.021288166226224,"*","GCtS_higher"
"PWY-7295",811.755166938642,430.960180442496,-0.913490088156494,1510,0.00833607445784357,0.0214422437996267,"*","GCtS_higher"
"PWY-7783",93.475014457917,33.9593588473388,-1.46077156813302,1510,0.00833865036652148,0.0214422437996267,"*","GCtS_higher"
"PWY0-301",687.797350970719,282.053267733598,-1.28601590796809,1510,0.00838444120352476,0.0214578116109165,"*","GCtS_higher"
"PWY-7674",12.1210490791041,1.85974697840421,-2.70433631029399,1421.5,0.00867199947323516,0.0220890552620141,"*","GCtS_higher"
"PWY66-367",542.559884715826,302.394158911839,-0.843352110399734,1508,0.00876037061895363,0.0222093903015726,"*","GCtS_higher"
"PWY-7383",13470.2979025537,8061.84865305976,-0.740599152584649,1505,0.00936348979479524,0.0236253049586094,"*","GCtS_higher"
"PWY-7873",795.455653467562,479.376851471874,-0.730621258095447,1504.5,0.00940637141870559,0.0236253049586094,"*","GCtS_higher"
"PWY-6946",2976.38027274931,1614.96784951404,-0.882053417688825,1502,0.00999821831684506,0.0249955457921126,"*","GCtS_higher"
"POLYAMINSYN3-PWY",2734.34150114662,1842.23374039094,-0.569737316807368,1500,0.0104421705310354,0.0259851248237748,"*","GCtS_higher"
"PWY-5645",4.69759992220576,0.523218663303394,-3.16643793889502,1347,0.010853670159052,0.026885238008661,"*","GCtS_higher"
"P184-PWY",328.236417632326,202.159547119166,-0.699240976420766,1496.5,0.0111983925849348,0.0274869636175673,"*","GCtS_higher"
"PWY-922",354.912349949375,194.122145325916,-0.870498067853986,1496.5,0.0111577530413987,0.0274869636175673,"*","GCtS_higher"
"PWY-7111",20892.5559995441,14118.50329007,-0.565401846948542,1496,0.0113824536904567,0.0278123302843738,"*","GCtS_higher"
"PWY-7031",2.10918338732353,0.244724148634124,-3.1074561591763,1384,0.0114439433162612,0.0278366188773921,"*","GCtS_higher"
"KETOGLUCONMET-PWY",1054.73949580558,488.021077950691,-1.11187135457517,1495,0.011628847002786,0.0280770678508502,"*","GCtS_higher"
"PWY-5910",502.298697491118,275.329151612166,-0.867388164642751,1494.5,0.0116467837010934,0.0280770678508502,"*","GCtS_higher"
"PWY-6803",97.807011694303,37.8800495370295,-1.36849967686723,1494,0.011819657475262,0.0283671779406289,"*","GCtS_higher"
"GLYCOLYSIS-E-D",7695.43133894218,5039.00736140479,-0.610862629835298,1493,0.0121357259060453,0.0289968672091349,"*","GCtS_higher"
"PWY-2941",4984.24166945726,3023.90339373065,-0.720961971846811,1491,0.01266188810506,0.0298577274093119,"*","GCtS_higher"
"PWY-7268",4659.75763280589,2284.58146157561,-1.0283250323736,1491,0.01266188810506,0.0298577274093119,"*","GCtS_higher"
"PWY0-1297",9480.1452120499,6177.81101427725,-0.617813419677546,1491,0.01266188810506,0.0298577274093119,"*","GCtS_higher"
"HCAMHPDEG-PWY",562.777327479442,339.338954012274,-0.729837156098827,1489.5,0.0129763478447149,0.0303343196369959,"*","GCtS_higher"
"PWY-6690",562.777327479442,339.338954012274,-0.729837156098827,1489.5,0.0129763478447149,0.0303343196369959,"*","GCtS_higher"
"PWY-821",8366.44320022487,5790.89682549401,-0.530827631655706,1489,0.0132079375721967,0.0307426133145959,"*","GCtS_higher"
"PWY-6922",3423.99834128598,4939.94261517533,0.528812280002385,816,0.0134886124362914,0.0312611618695166,"*","EtS_higher"
"PWY-5855",4711.46139824161,10047.8594124342,1.09264165495293,817,0.0137744916861672,0.0315179047056369,"*","EtS_higher"
"PWY-7269",3680.25762239499,1674.4251848209,-1.1361408439132,1487,0.0137744916861672,0.0315179047056369,"*","GCtS_higher"
"PWY-8187",5567.46019003986,11383.5442977291,1.03185857242916,817,0.0137744916861672,0.0315179047056369,"*","EtS_higher"
"METHYLGALLATE-DEGRADATION-PWY",390.294365815574,244.523278433063,-0.674590821364291,1486.5,0.0138442236010869,0.0315438006100715,"*","GCtS_higher"
"PWY-5030",3150.83836973246,8687.70724033994,1.46323973826517,818,0.0140656546016305,0.0319136701045397,"*","EtS_higher"
"PWY4FS-7",17399.5907899039,11627.4212259396,-0.581522210780423,1485,0.0143621813095887,0.0323149079465747,"*","GCtS_higher"
"PWY4FS-8",17399.5907899039,11627.4212259396,-0.581522210780423,1485,0.0143621813095887,0.0323149079465747,"*","GCtS_higher"
"GALLATE-DEGRADATION-II-PWY",482.128219347584,294.060422921611,-0.713304246803959,1483.5,0.0147378599663492,0.0330225907959693,"*","GCtS_higher"
"PWY-3941",10.8135187922007,4.11999111486751,-1.39212293076351,1449,0.015478839311462,0.0343974206921378,"*","GCtS_higher"
"PWY-7574",9.04459883626847,3.44391122425328,-1.39300856076851,1449,0.015478839311462,0.0343974206921378,"*","GCtS_higher"
"OANTIGEN-PWY",14307.2890752139,9835.48500156574,-0.540682237467364,1481,0.0156035583566048,0.0345324652154369,"*","GCtS_higher"
"PWY-5743",3.049863575278,1.21626214581868,-1.32629049751321,1398.5,0.0171639090971427,0.0376583030275238,"*","GCtS_higher"
"PWY-6505",100.437148999158,34.9449243493884,-1.52313815346153,1464,0.0172949243533813,0.0376583030275238,"*","GCtS_higher"
"PWY-7024",4.18807765253021,1.67226711583712,-1.3244828800012,1398.5,0.0171639090971427,0.0376583030275238,"*","GCtS_higher"
"PWY66-388",1401.29961759242,688.572003632677,-1.02508602800109,1476,0.0172859348121768,0.0376583030275238,"*","GCtS_higher"
"PWY-5655",265.17791699583,158.374952236979,-0.743616454040505,1475,0.0175054225044713,0.0379635668771667,"*","GCtS_higher"
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY",65.8121818396249,18.9005506657363,-1.79992638373982,1446,0.0179454850137033,0.0387622476295991,"*","GCtS_higher"
"PWY-5744",3.62037411202244,1.47612595370792,-1.29432295779732,1395.5,0.0188943135955812,0.0406491208829238,"*","GCtS_higher"
"P241-PWY",28.7158842803801,6.74159604074565,-2.09068690063374,1429.5,0.0189962436923421,0.0407062364835902,"*","GCtS_higher"
"PWY-6421",6080.65330659039,3652.52114855573,-0.735333708997539,1471,0.0191236542061129,0.0408172856573161,"*","GCtS_higher"
"PWY-6210",234.218249038427,138.563889557445,-0.757302154412852,1470,0.0193804269684481,0.0412024825313464,"*","GCtS_higher"
"PWY-7948",30.3767103763702,7.6458332423219,-1.99022000249206,1435,0.0194721558464268,0.0412351535571391,"*","GCtS_higher"
"P125-PWY",5421.48148796049,2935.86404896294,-0.884901977148821,1469,0.0199047751171057,0.0419866350126449,"*","GCtS_higher"
"PWY0-1061",17984.8489671027,11067.2667733913,-0.700483073032278,1468,0.0203055734330763,0.0426654072134676,"*","GCtS_higher"
"PWY-6562",2212.16757160881,1314.33233398656,-0.751130561027398,1465,0.021550068941864,0.0451047954597153,"*","GCtS_higher"
"PWY-8004",6501.33245406637,4323.77114046932,-0.588445267651429,1463,0.022415791089974,0.0467356262107565,"*","GCtS_higher"
"PWY-5656",13.4134655746231,3.41124126422388,-1.97531332743574,1415,0.0226581586828267,0.0470592526489478,"*","GCtS_higher"
"PWY-6891",1979.5448344087,837.713232972174,-1.2406403747155,1456,0.0227562141585507,0.0470818223970014,"*","GCtS_higher"
"P185-PWY",4612.93384021284,2248.36995568657,-1.03680515923816,1462,0.0228597665755341,0.0471155494304901,"*","GCtS_higher"
