"pathway","mean_GCtS","mean_EtS","log2FC","W","p","p_adj","sig","direction"
"COA-PWY",15107.8598299039,19720.9443892227,0.384429336923461,1063,0.518369345877947,0.624820193692168,"ns","EtS_higher"
"PWY-5484",17420.088656273,15653.692896286,-0.15424891968742,1238,0.532666839578028,0.640623815973575,"ns","GCtS_higher"
"PWY-6948",3040.9798769645,2014.07064955044,-0.59442197859867,1237,0.537476215571857,0.644971458686229,"ns","GCtS_higher"
"FOLSYN-PWY",15901.1327374982,14151.5742164654,-0.168166994487863,1235,0.547159339405805,0.655135350951518,"ns","GCtS_higher"
"PWY-6269",9663.92292531341,11204.8402348774,0.213441224613911,1072,0.561842492054985,0.671227755994893,"ns","EtS_higher"
"PWY-7159",1298.78355620483,1414.79132273206,0.123428251764854,1073,0.56677283695717,0.675623249352917,"ns","EtS_higher"
"PWY-561",7170.52165525745,6394.52083227438,-0.165241822681831,1228,0.581708632383051,0.691900135433585,"ns","GCtS_higher"
"PWY-7118",12103.1218299471,14285.0660479129,0.239128488299511,1077,0.586725512728063,0.696333575545393,"ns","EtS_higher"
"HISTSYN-PWY",16828.8385036574,15332.2616563969,-0.134365083751572,1226,0.591762161062893,0.699237564494447,"ns","GCtS_higher"
"PWY-6342",139.744000240319,83.9047215764533,-0.735962440873341,1226,0.590687050420194,0.699237564494447,"ns","GCtS_higher"
"PWY-7282",13029.8687392966,14745.0450639166,0.178407681069342,1079,0.596818387416169,0.703672334508147,"ns","EtS_higher"
"PWY-5367",1504.52445541786,1189.78762836272,-0.338603475206029,1224,0.601888729118555,0.707368553645113,"ns","GCtS_higher"
"PWY-7153",13.4462396724644,6.41130867844332,-1.06851199470396,1197,0.602573212364356,0.707368553645113,"ns","GCtS_higher"
"PWY-5918",11008.0115834332,12822.6417419315,0.220139625742467,1081,0.60698880042452,0.711006403967984,"ns","EtS_higher"
"PWY-5384",15276.5804668975,13951.4009312773,-0.130911646759272,1219,0.627555898108621,0.731922645742236,"ns","GCtS_higher"
"PWY-7094",18864.1957953661,20766.0373291395,0.138575343199357,1085,0.627555898108621,0.731922645742236,"ns","EtS_higher"
"PWY-5130",10218.5259800366,9348.75283009541,-0.128341282574776,1217,0.637949303216515,0.742440999433013,"ns","GCtS_higher"
"PENTOSE-P-PWY",15688.3633198214,14776.9710219261,-0.0863442750709524,1216,0.643172731576682,0.745307457191864,"ns","GCtS_higher"
"PWY-6147",16238.6992852172,15103.7427653944,-0.104529978506571,1216,0.643172731576682,0.745307457191864,"ns","GCtS_higher"
"SER-GLYSYN-PWY",18155.8928383272,17238.3876904697,-0.0748130329751887,1213,0.658947310992734,0.761951922775325,"ns","GCtS_higher"
"PWY-6581",14.0153179465839,17.8406488500297,0.348163612631992,1101.5,0.662983625062375,0.764981105841202,"ns","EtS_higher"
"PWY-7072",623.201696691373,398.426486683494,-0.645385602806343,1211,0.669543866241392,0.770183008487025,"ns","GCtS_higher"
"PWY-7413",128.944707442703,157.15233857897,0.285411182312859,1094,0.670344470349818,0.770183008487025,"ns","EtS_higher"
"POLYISOPRENSYN-PWY",16909.2741381165,15523.8241865166,-0.123330731489347,1208,0.685572465407074,0.782683152896025,"ns","GCtS_higher"
"PWY-5531",457.596960117545,500.815654480627,0.130202190575788,1096,0.685550910491434,0.782683152896025,"ns","EtS_higher"
"PWY-7345",16747.5951876163,15518.3546765882,-0.109978346856676,1208,0.685572465407074,0.782683152896025,"ns","GCtS_higher"
"PWY-6644",57.979692442574,20.7763776417242,-1.48060353798954,1201,0.690907113556317,0.787109369874285,"ns","GCtS_higher"
"PWY-5733",332.709166666667,122.379166666667,-1.44290363492718,1205.5,0.697444510692841,0.792884285840283,"ns","GCtS_higher"
