Feature ID	Taxon	Confidence
60760156c3db0160c8910a186282055d	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Dermabacteraceae; g__Brachybacterium	0.9995047350696127
c709d035284775213eec4fb007156db0	d__Bacteria; p__Deinococcota; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__Deinococcus_proteolyticus	0.9989529383167542
33869abfe378bdbc295e76a165adbdd5	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__UCG-005	0.9953438228894151
c18776a5030fd47935613d57853cfd8b	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae; g__Saccharopolyspora; s__Saccharopolyspora_rectivirgula	0.9534102740401551
9b3893f6f835fa0c49fff2367f339ee6	d__Bacteria; p__Deinococcota; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__Deinococcus_proteolyticus	0.9988135895422724
640eae412b3e61ae4f65ffdfc919bfe0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Brevibacteriaceae; g__Brevibacterium	0.9999999580270179
b7fb8af519a8515cd8f875eb9b0bb12c	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Dietziaceae; g__Dietzia; s__Dietzia_maris	0.7229241359373743
f41a19256ad96d9eefcd0109c8bc3be0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Curtobacterium	0.7309957417745837
cbdb7f89f37b1c42a93e69555c949359	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Aeromicrobium	0.9963753762455875
fbe8e3b5bc3e70b7cc6e056df4364704	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Leucobacter	0.9539264975419776
3dc6420f1c2b502e31b41e26ef959053	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Dietziaceae; g__Dietzia	0.9999570983152011
2a170ceb2d048c735f507396c6458496	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Dermabacteraceae; g__Brachybacterium; s__Brachybacterium_tyrofermentans	0.9009172133708063
974d9e9fc0f0da7893246dc58b19f44f	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium	0.9995609240428522
82a572ba357a9c2771f4978ef1066b86	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.9999868377367935
5b8f2c7ce7c55c211c939c395d14dc07	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae; g__Devosia	0.9536117759831465
